"Артикул";"Название";"Код категории";"Категория";"Купаж, руб";"Упаковка, руб";"Итого себестоимость, руб";"Цена +40%, руб"
"7017-ПА500";"Сун Чжень (Сосновые иглы), 500 гр";"1.2.1";"Моносорта";395,44;0,00;395,44;553,62
"7018-ПР250";"Лун Цзин, 250 гр";"1.2.1";"Моносорта";587,50;0,00;587,50;822,50
"7019-ПА500";"Молочный улун, 500 гр.";"1.3.3";"Улуны с ароматами";179,59;4,05;183,64;257,09
"7025-ПА500";"Дянь Хун, 500 гр";"1.5";"Красные чаи";229,59;4,05;233,64;327,09
"7031-ПА500";"Цзин Хао (Золотой пух)";"1.5";"Красные чаи";1345,84;0,00;1345,84;1884,17
"7034-ПА500";"Хуа Чжу Ча (Зеленый с жасмином) высшей категории, 500 гр";"1.2.1";"Моносорта";246,97;0,00;246,97;345,75
"7034/1-10";"ПЭТ Хуа Чжу Ча (Зеленый с жасмином)";"1.2.3";"Зеленый чай с ароматами";28,18;27,40;55,58;77,81
"7034/1-ПА500";"Хуа Чжу Ча (Зеленый с жасмином), 500 гр";"1.2.3";"Зеленый чай с ароматами";108,39;4,05;112,44;157,41
"7042-ЗИП100";"Гун Тин Пуэр (Императорский Пуэр), 100 гр";"1.4";"Пуэры";134,84;14,00;148,84;208,37
"7042-ПА500";"Гун Тин Пуэр (Императорский Пуэр), 500 гр";"1.4";"Пуэры";674,18;0,00;674,18;943,85
"7045-ПА500";"Вишневый пуэр";"1.4";"Пуэры";294,89;0,00;294,89;412,85
"7046-ПА500";"Пуэр, 500 гр";"1.4";"Пуэры";274,43;0,00;274,43;384,20
"7049И";"Шу Пуэр Туоча Феникс 100 г 2015 г.";"1.4";"Пуэры";22,68;0,00;22,68;31,75
"7052-ЗИП100";"Те Гуань Инь, 100 гр";"1.3.1";"Улуны моносорта";26,64;14,00;40,64;56,89
"7052-ПА500";"Те Гуань Инь, 500 гр";"1.3.1";"Улуны моносорта";133,20;4,89;138,09;193,32
"7053-ПА500";"Те Гуань Инь Ван, 500 гр";"1.3.1";"Улуны моносорта";628,34;0,00;628,34;879,67
"7054/3-ПА500";"Женьшеневый улун, 500 гр.";"1.3.1";"Улуны моносорта";346,34;4,05;350,39;490,54
"7057/1-ПА500";"Да Хун Пао (Большой красный халат) 1 категории, 500 гр";"1.3.1";"Улуны моносорта";473,03;4,05;477,08;667,91
"7060-ПА500";"Земляничный улун, 500 гр.";"1.3.3";"Улуны с ароматами";180,38;0,00;180,38;252,54
"7068-СМ-500";"Многолетний пуэр в камнях Эко (16 лет), 500 гр.";"1.4";"Пуэры";880,00;4,05;884,05;1237,67
"7071-ПА500";"Роза бутоны, 500 гр";"2.1";"Травяные моносорта";672,52;0,00;672,52;941,53
"7072/1-ПА500";"Каркадэ лепестки (крупные)";"2.1";"Травяные моносорта";147,54;0,00;147,54;206,56
"7073-ПА500";"Цзюй Хуа (Хризантема), 500 гр";"2.1";"Травяные моносорта";732,38;0,00;732,38;1025,33
"7082-10Б";"ПЭТ ""Клубнично-банановый смузи""";"1.3.3";"Улуны с ароматами";55,91;27,40;83,31;116,63
"7082-ПА500";"Клубнично-банановый смузи, 500 гр.";"1.3.3";"Улуны с ароматами";186,35;4,05;190,40;266,57
"7083-ПА500";"Жасминовый улун, 500 гр";"1.3.3";"Улуны с ароматами";159,26;4,05;163,31;228,64
"7084-ПА500";"Улун ""Ягодный пунш"", 500 гр.";"1.3.3";"Улуны с ароматами";211,14;4,05;215,19;301,27
"7087-ПА500";"Мао Фэн, 500 гр.";"1.2.1";"Моносорта";490,95;4,05;495,00;692,99
"7088-ПА500";"Лапсанг Сушонг, 500 гр.";"1.5";"Красные чаи";238,19;4,05;242,24;339,14
"7089-ПА500";"Ежедневный, 500 гр.";"1.2";"Зеленые чаи";165,90;4,05;169,95;237,93
"7132-ПА500";"Клубничный улун, 500 гр";"1.3.3";"Улуны с ароматами";173,77;0,00;173,77;243,27
"7133-ПА500";"Вишневый улун, 500 гр.";"1.3.3";"Улуны с ароматами";169,99;4,05;174,04;243,65
"7142-ПР250";"Шу Пуэр ""Квадратик""";"1.4";"Пуэры";229,58;13,03;242,61;339,66
"7151-ПА500";"Шу Пуэр Золотая медалька, 500 гр";"1.4";"Пуэры";506,67;0,00;506,67;709,33
"7173-ПА500";"Ан Чан цветки (синий чай), 500 гр";"2.1";"Травяные моносорта";791,67;4,05;795,72;1114,00
"7173-ПР250";"Ан Чан цветки (синий чай), 250 гр";"2.1";"Травяные моносорта";395,83;0,00;395,83;554,17
"7178-ПА500";"Виноградный улун";"1.3.3";"Улуны с ароматами";158,27;0,00;158,27;221,58
"7179-ПА500";"Миндальный с персиком улун, 500 гр.";"1.3.3";"Улуны с ароматами";188,83;4,05;192,88;270,03
"7188-10";"ПЭТ Персиковый улун";"1.3.3";"Улуны с ароматами";55,32;28,05;83,37;116,72
"7188-ПА500";"Персиковый улун, 500 гр";"1.3.3";"Улуны с ароматами";172,87;4,05;176,92;247,69
"7210-ПА500";"Габа земляничная";"1.3.3";"Улуны с ароматами";842,78;0,00;842,78;1179,89
"7211-ПА500";"Габа Ягода-малина";"1.3.3";"Улуны с ароматами";860,88;0,00;860,88;1205,23
"7221";"Шу Пуэр, блин 357 г";"1.4";"Пуэры";111,56;0,00;111,56;156,19
"7236";"Шу Пуэр Желтый дракон, 357 г";"1.4";"Пуэры";326,01;0,00;326,01;456,42
"7273-ПА500";"Каркаде рубленный мелкий, 500 гр";"2.1";"Травяные моносорта";88,12;4,05;92,17;129,03
"7330-ЗИП100";"Сенча, 100 гр";"1.2.1";"Моносорта";40,98;14,00;54,98;76,98
"7330-ПА500";"Сенча, 500 гр";"1.2.1";"Моносорта";204,92;4,05;208,97;292,56
"7331-ПА500";"Матча, 500 гр";"1.2.1";"Моносорта";329,17;4,05;333,22;466,50
"7331-ПР100";"Матча, 100 гр";"1.2.1";"Моносорта";65,83;7,23;73,06;102,29
"7332-ПР100";"Японская матча, 100 гр";"1.2.1";"Моносорта";188,00;7,23;195,23;273,32
"7334-ПР100";"Голубая матча, 100 гр";"2.1";"Травяные моносорта";200,00;7,23;207,23;290,12
"7334-ПР500";"Голубая матча, 500 гр";"2.1";"Травяные моносорта";1000,00;0,00;1000,00;1400,00
"7338-ПР100";"Красная матча, 100 гр";"2.1";"Травяные моносорта";65,17;7,23;72,40;101,36
"7338-ПР500";"Красная матча, 500 гр";"2.1";"Травяные моносорта";325,85;0,00;325,85;456,19
